FCS_HEADER_ID	PARAMETER_NUMBER	PNN_PREFERRED	PNN_REPORTED	PNS_PREFERRED	PNS_REPORTED
217624	4	SSC	SSC-H	SSC	SSC-H
217624	13		Pacific Blue-A	hCD86	CD86
217625	14		Pacific Orange-A		VIVID
217625	15		Time		Time
217626	2		FSC-H		FSC-H
217626	8		PE-Cy5-A	hCXCR3	CXCR3
217627	9		PE-Cy7-A	hCD38	CD38
217628	4	SSC	SSC-H	SSC	SSC-H
217628	10		APC-A	hSECISBP2L	SLAN
217631	6		PE-A	hCD24	CD24
217631	14		Pacific Orange-A		VIVID
217629	1		FSC-A		FSC-A
217630	14		Pacific Orange-A		VIVID
217632	8		PE-Cy5-A	hCD40	CD40
217632	10		APC-A	hSECISBP2L	SLAN
217634	7		ECD-A	hPTPRC/iso:h6	CD45RA
217634	9		PE-Cy7-A	hICOS	ICOS
217634	10		APC-A	hCD8A	CD8
217635	10		APC-A	hSDC1	CD138
217636	7		ECD-A	hCD2	CD2
217636	9		PE-Cy7-A	hCCR7	CCR7
217636	10		APC-A	hSECISBP2L	SLAN
217636	12		APC-H7-A	hFCGR3A	CD16
217636	14		Pacific Orange-A	hCD3E, hMS4A1, VIVID	VIVID/CD3/CD20
217637	15		Time		Time
217638	1		FSC-A		FSC-A
217638	6		PE-A	hCCR6	CCR6
217638	12		APC-H7-A	hCD4	CD4
217638	13		Pacific Blue-A	hPDCD1	PD-1
217638	14		Pacific Orange-A		VIVID
217639	11		Alexa Fluor 700-A		Alexa Fluor 700-A
217640	4	SSC	SSC-H	SSC	SSC-H
217640	15		Time		Time
217642	9		PE-Cy7-A	hICOS	ICOS
217643	15		Time		Time
217644	1		FSC-A		FSC-A
217644	5		FITC-A		CXC3CR1
217644	8		PE-Cy5-A	hCD40	CD40
217644	11		Alexa Fluor 700-A	hHLA-DRA	DR
217645	4	SSC	SSC-H	SSC	SSC-H
217645	6		PE-A	hCLEC4C	BDCA-2
217645	15		Time		Time
217646	6		PE-A	hCCR6	CCR6
217646	9		PE-Cy7-A	hICOS	ICOS
217646	14		Pacific Orange-A		VIVID
217647	3	SSC	SSC-A	SSC	SSC-A
217647	4	SSC	SSC-H	SSC	SSC-H
217647	12		APC-H7-A	hCD27	CD27
