NAME	DISEASE_ONTOLOGY_ID	DESCRIPTION	LINK	HUMAN_PHENOTYPE_ID
bronchiolitis	DOID:2942	A lung disease that is an inflammation of the bronchioles, the smallest air passages of the lungs. It is caused by viruses and bacteria. The disease has_symptom cough, has_symptom wheezing, has_symptom shortness of breath, has_symptom fever, has_symptom nasal flaring in infants and has_symptom bluish skin due to lack of oxygen.	http://purl.obolibrary.org/obo/DOID_2942	HP:0011950
Sjogren's syndrome	DOID:12894	An autoimmune disease that involves attack of immune cells which destroy the exocrine glands that produce tears and saliva.	http://purl.obolibrary.org/obo/DOID_12894	
rheumatoid arthritis	DOID:7148	An arthritis that is an autoimmune disease which attacks healthy cells and tissue located_in joint.	http://purl.obolibrary.org/obo/DOID_7148	HP:0001370
systemic lupus erythematosus	DOID:9074	A lupus erythematosus that is an inflammation of connective tissue marked by skin rashes, joint pain and swelling, inflammation of the kidneys and inflammation of the tissue surrounding the heart.	http://purl.obolibrary.org/obo/DOID_9074	HP:0002725
celiac disease	DOID:10608	An autoimmune disease of gastrointestinal tract that is caused by a reaction located_in small intestine to gliadin, a prolamin (gluten protein) found in wheat, and similar proteins found in the crops of the tribe Triticeae. The disease is associated with HLA-DQ gene. It has_symptom abdominal pain, has_symptom constipation, has_symptom diarrhea, has_symptom nausea and vomiting, and has_symptom loss of appetite.	http://purl.obolibrary.org/obo/DOID_10608	HP:0002608
type 1 diabetes mellitus	DOID:9744	A diabetes mellitus that is characterized by destruction of pancreatic beta cells resulting in absent or extremely low insulin production.	http://purl.obolibrary.org/obo/DOID_9744	HP:0100651
brain glioma	DOID:0060108	A brain cancer that has_material_basis_in glial cells.	http://purl.obolibrary.org/obo/DOID_0060108	
West Nile encephalitis	DOID:2365	A viral infectious disease that results in inflammation located in brain, has_material_basis_in West Nile virus, which is transmitted_by Culex, transmitted by Aedes, and transmitted_by Anopheles species of mosquitoes. The infection has_symptom high fever, has_symptom headache, has_symptom neck stiffness, has_symptom stupor, has_symptom disorientation, has_symptom coma, has_symptom tremors, has_symptom convulsions, has_symptom muscle weakness, has_symptom vision loss, has_symptom numbness, and has_symptom paralysis.	http://purl.obolibrary.org/obo/DOID_2365	
Zika fever	DOID:0060478	A viral infectious disease that has_material_basis in Zika virus, which is transmitted_by Aedes aegypti mosquitoes and targets neural progenitor cells and  neuronal cells in all stages of maturity and has_symptom fever, has_symptom rash, has_symptom headaches and has_symptom joint pain.	http://purl.obolibrary.org/obo/DOID_0060478	
Heart Transplantation	NCIT:C15246	A surgical procedure in which a damaged heart is removed and replaced by another heart from a suitable donor.	http://purl.obolibrary.org/obo/NCIT_C15246	
chickenpox	DOID:8659	A viral infectious disease that results_in infection located_in skin, has_material_basis_in Human herpesvirus 3, which is transmitted_by direct contact with secretions from the rash, or transmitted_by droplet spread of respiratory secretions. The infection has_symptom anorexia, has_symptom myalgia, has_symptom nausea, has_symptom fever, has_symptom headache, has_symptom sore throat, and has_symptom blisters.	http://purl.obolibrary.org/obo/DOID_8659	
dengue hemorrhagic fever	DOID:12206	A dengue disease that occurs when a person experiences a second infection with a heterologous Dengue virus serotype, which is transmitted_by Aedes mosquito bite. The infection has_symptom hemorrhagic lesions of the skin, has_symptom thrombocytopenia, has_symptom reduction in the fluid part of the blood, and has_symptom high fever.	http://purl.obolibrary.org/obo/DOID_12206	
chorioamnionitis	DOID:0050697	A placenta disease that is an inflammation of the fetal membranes (amnion and chorion) due to a bacterial infection.	http://purl.obolibrary.org/obo/DOID_0050697	
multiple sclerosis	DOID:2377	A demyelinating disease that involves damage to the fatty myelin sheaths around the axons of the brain and spinal cord resulting in demyelination and scarring.	http://purl.obolibrary.org/obo/DOID_2377	
pemphigus vulgaris	DOID:0060851	A pemphigus characterized by autosomal dominant blisters and erosions on the skin and mucous membranes erosions cause by autoantibodies to intercellular cement substance.	http://purl.obolibrary.org/obo/DOID_0060851	
psoriasis	DOID:8893	A skin disease that is characterized by patches of thick red skin and silvery scales.	http://purl.obolibrary.org/obo/DOID_8893	HP:0003765
chronic plaque psoriasis	N/A	Chronic plaque psoriasis is the most common presentation of psoriasis. It presents as small to large, well-demarcated, red, scaly and thickened areas of skin. It most likely to affect elbows, knees, and lower back but may arise on any part of the body.	https://dermnetnz.org/topics/chronic-plaque-psoriasis/	HP:0003765
tuberculosis	DOID:399	A primary bacterial infectious disease that is located_in lungs, located_in lymph nodes, located_in pericardium, located_in brain, located_in pleura or located_in gastrointestinal tract, has_material_basis_in Mycobacterium tuberculosis, which is transmitted_by droplets released into the air when an infected person coughs or sneezes.	http://purl.obolibrary.org/obo/DOID_399	
clinically isolated syndrome	UMLS CUI:C2921627	A first neurologic episode caused by inflammation/demyelination of one or more central nervous system sites that lasts at least 24 hours. (SNOMEDCT_US)	https://uts.nlm.nih.gov/uts/umls/concept/C2921627	
allergic hypersensitivity disease	DOID:1205	An immune system disease that is an exaggerated immune response to allergens, such as insect venom, dust mites, pollen, pet dander, drugs or some foods.	http://purl.obolibrary.org/obo/DOID_1205	HP:0012393
allergic rhinitis	DOID:4481	A rhinitis that is an allergic inflammation and irritation of the nasal airways involving sneezing, runny nose, nasal congestion, itching and tearing of the eyes caused by exposure to an allergen such as pollen, dust, mold, animal dander and droppings of cockroaches or house dust mites.	http://purl.obolibrary.org/obo/DOID_4481	HP:0003193
Clostridium difficile colitis	DOID:0060185	A colitis characterized by an overgrowth of Clostridium difficile bacteria.	http://purl.obolibrary.org/obo/DOID_0060185	HP:0032168
atopic dermatitis	DOID:3310	An allergic contact dermatitis that is a chronically relapsing inflammatory allergic response located_in the skin that causes itching and flaking.	http://purl.obolibrary.org/obo/DOID_3310	HP:0001047
colitis	DOID:0060180	An inflammatory bowel disease that involves inflammation located_in colon.	http://purl.obolibrary.org/obo/DOID_0060180	HP:0002583
colorectal cancer	DOID:9256	A large intestine cancer that is located_in the colon and/or located_in the rectum.	http://purl.obolibrary.org/obo/DOID_9256	HP:0100834
Cytogenetically Normal Acute Myeloid Leukemia	NCIT:C122687	Acute myeloid leukemia not associated with cytogenetic abnormalities.	http://purl.obolibrary.org/obo/NCIT_C122687	HP:0004808
diphtheria	DOID:11405	A primary bacterial infectious disease that is characterized by sore throat, low fever, and an adherent membrane (a pseudomembrane) on the tonsils, pharynx, and/or nasal cavity. A milder form of diphtheria can be restricted to the skin. It is caused by Corynebacterium diphtheriae, an aerobic Gram-positive bacterium. Diphtheria toxin spreads through the bloodstream and can lead to potentially life-threatening complications that affect other organs of the body, such as the heart and kidneys.	http://purl.obolibrary.org/obo/DOID_11405	
Ebola hemorrhagic fever	DOID:4325	A viral infectious disease that is a hemorrhagic fever, has_material_basis_in Zaire ebolavirus, has_material_basis_in Sudan ebolavirus, has_material_basis_in Cote d'Ivoire ebolavirus, or has_material_basis_in Bundibugyo ebolavirus, which are transmitted_by contact with the body fluids of an infected animal or person, transmitted by contaminated fomites, or transmitted by infected medical equipment. The infection has_symptom fever, has_symptom headache, has_symptom joint pain, has_symptom muscle aches, has_symptom sore throat, has_symptom weakness, has_symptom diarrhea, has_symptom vomiting, has_symptom stomach pain, has_symptom rash, has_symptom red eyes, has_symptom hiccups, and has_symptom internal and external bleeding.	http://purl.obolibrary.org/obo/DOID_4325	
childhood type dermatomyositis	DOID:14203	childhood type dermatomyositis	http://purl.obolibrary.org/obo/DOID_14203	
cholera	DOID:1498	A primary bacterial infectious disease that is described as an acute, diarrheal illness caused by infection of the intestine with the bacterium Vibrio cholerae, which is characterized by profuse watery diarrhea, vomiting, leg cramps, circulatory collapse and shock.	http://purl.obolibrary.org/obo/DOID_1498	
eczema vaccinatum	UMLS CUI:C0936249	ICD10CM:T88.1 (can ref: https://academic.oup.com/cid/article-abstract/54/6/832/290140)	https://uts.nlm.nih.gov/uts/umls/concept/C0936249	
eczema herpeticum	DOID:9123	A herpes simplex that results_in infection located_in skin, effected by preexisting dermatosis, has_material_basis_in Human herpesvirus 1 or Human herpesvirus 2. The infection has_symptom watery blisters, has_symptom fever, and has_symptom swelling of the lymph nodes.	http://purl.obolibrary.org/obo/DOID_9123	
egg allergy	DOID:4377	A food allergy that is an allergy or hypersensitivity to dietary substances from the yolk or whites of eggs, causing an overreaction of the immune system which may lead to severe physical symptoms.	http://purl.obolibrary.org/obo/DOID_4377	HP:0410328
granulomatosis with polyangiitis	DOID:12132	An autoimmune disease that is characterized by necrotizing granulomatous inflammation of the upper and lower respiratory tract, glomerulonephritis, vasculitis, and the presence of antineutrophil cytoplasmatic autoantibodies (ANCAs) in patient sera, and is located_in lung, located_in kidney, located_in skin resulting from an autoimmune attack by antineutrophil cytoplasmic antibodies against small and medium-size blood vessels.	http://purl.obolibrary.org/obo/DOID_12132	
encephalitis	DOID:9588	A brain disease that is characterized as an acute inflammation of the brain with flu-like symptoms.	http://purl.obolibrary.org/obo/DOID_9588	HP:0002383
eosinophilic esophagitis	DOID:13922	An esophagitis characterized by inflammation involving eosinophils located_in esophagus.	http://purl.obolibrary.org/obo/DOID_13922	
hepatitis B	DOID:2043	A viral infectious disease that results_in inflammation located_in liver, has_material_basis_in Hepatitis B virus, which is transmitted_by sexual contact, transmitted_by blood transfusions, and transmitted_by fomites like needles or syringes. The infection has_symptom fever, has_symptom fatigue, has_symptom loss of appetite, has_symptom nausea, has_symptom vomiting, has_symptom abdominal pain, has_symptom clay-colored bowel movements, has_symptom joint pain, and has_symptom jaundice.	http://purl.obolibrary.org/obo/DOID_2043	
herpes zoster	DOID:8536	A viral infectious disease that results_in infection located_in nerve fiber, has_material_basis_in Human herpesvirus 3, which reactivates after appearing as chickenpox in childhood. The virus is transmitted_by direct contact with the rash, which can develop into chickenpox in newly-infected individuals. The infection has_symptom rash which is followed by blisters, has_symptom headache, has_symptom fever, has_symptom malaise, has_symptom itching, has_symptom burning pain, and has_symptom paresthesia.	http://purl.obolibrary.org/obo/DOID_8536	
haemophilus meningitis	DOID:0080179	A bacterial meningitis that has_material_basis_in Haemophilus influenzae infection.	http://purl.obolibrary.org/obo/DOID_0080179	
hepatitis A	DOID:12549	A viral infectious disease that results_in inflammation located_in liver, has_material_basis_in Hepatitis A virus, which is transmitted_by ingestion of contaminated food or water, or transmitted_by direct contact with an infected person. The infection has_symptom fever, has_symptom fatigue, has_symptom loss of appetite, has_symptom nausea, has_symptom vomiting, has_symptom abdominal pain, has_symptom clay-colored bowel movements, has_symptom joint pain, and has_symptom jaundice.	http://purl.obolibrary.org/obo/DOID_12549	
influenza	DOID:8469	A viral infectious disease that results in infection, located in respiratory tract, has_material_basis_in Influenzavirus A, has_material_basis_in Influenzavirus B, or has_material_basis_in Influenzavirus C, which are transmitted_by droplet spread of oronasal secretions during coughing, sneezing, or talking from an infected person. It is a highly contagious disease that affects birds and mammals and has_symptom chills, has_symptom fever, has_symptom sore throat, has_symptom runny nose, has_symptom muscle pains, has_symptom severe headache, has_symptom cough, and has_symptom weakness.	http://purl.obolibrary.org/obo/DOID_8469	
hepatitis C	DOID:1883	A viral infectious disease that results_in inflammation located_in liver, has_material_basis_in Hepatitis C virus, which is transmitted_by blood from an infected person enters the body of an uninfected person. The infection has_symptom fever, has_symptom fatigue, has_symptom loss of appetite, has_symptom nausea, has_symptom vomiting, has_symptom abdominal pain, has_symptom clay-colored bowel movements, has_symptom joint pain, and has_symptom jaundice.	http://purl.obolibrary.org/obo/DOID_1883	
lung cancer	DOID:1324	A respiratory system cancer that is located_in the lung.	http://purl.obolibrary.org/obo/DOID_1324	
lupus nephritis	DOID:0080162	A glomerulonephritis that is characterized by inflammation of the kidneys resulting from systemic lupus erythematosus.	http://purl.obolibrary.org/obo/DOID_0080162	HP:0033726
intestinal infectious disease	DOID:100	An intestinal disease that involves intestinal infection that has_material_basis_in viruses, bacteria, fungi and parasites.	http://purl.obolibrary.org/obo/DOID_100	
juvenile rheumatoid arthritis	DOID:676	A rheumatoid arthritis that involves an autoimmune disease onset in children under 16 which attacks the healthy cells and tissue of located_in joint.	http://purl.obolibrary.org/obo/DOID_676	HP:0005681
Listeria meningitis	DOID:11572	A bacterial meningitis that has_material_basis_in Listeria monocytogenes infection.	http://purl.obolibrary.org/obo/DOID_11572	
myocarditis	DOID:820	An extrinsic cardiomyopathy that is characterized as an inflammation of the heart muscle.	http://purl.obolibrary.org/obo/DOID_820	HP:0012819
lung adenocarcinoma	DOID:3910	A lung non-small cell carcinoma that derives_from epithelial cells of glandular origin.	http://purl.obolibrary.org/obo/DOID_3910	HP:0030078
lymphocytic choriomeningitis	DOID:12155	A viral infectious disease that results in infection located in brain, or located in meninges, or located in brain and meninges, has_material_basis_in Lymphocytic choriomeningitis virus, which is transmitted by common house mouse, Mus musculus. The infection has symptom fever, has symptom lack of appetite, has symptom headache, has symptom muscle aches, has symptom malaise, has symptom nausea, and has symptom vomiting.	http://purl.obolibrary.org/obo/DOID_12155	
measles	DOID:8622	A viral infectious disease that results_in infection located_in skin, has_material_basis_in Measles virus, which is transmitted_by contact with oronasal secretions, or semen of an infected person. The infection has_symptom fever, has_symptom cough, has_symptom coryza, has_symptom conjunctivitis, and has_symptom maculopapular, erythematous rash.	http://purl.obolibrary.org/obo/DOID_8622	
